run,seed,class_id,class_name,precision,recall,f1,support
cnn,0,8,Bag,0.9830508474576272,0.986,0.9845232151772342,1000
cnn,0,9,Ankle boot,0.9825102880658436,0.955,0.9685598377281948,1000
cnn,1,0,T-shirt/top,0.8688845401174168,0.888,0.8783382789317508,1000
cnn,1,1,Trouser,0.9929221435793731,0.982,0.987430869783811,1000
cnn,1,2,Pullover,0.8631578947368421,0.902,0.8821515892420538,1000
cnn,1,3,Dress,0.8938814531548758,0.935,0.9139784946236559,1000
cnn,1,4,Coat,0.8731417244796829,0.881,0.8770532603285216,1000
cnn,1,5,Sandal,0.9781962338949455,0.987,0.9825783972125436,1000
cnn,1,6,Shirt,0.8225988700564971,0.728,0.7724137931034483,1000
cnn,1,7,Sneaker,0.9621890547263682,0.967,0.9645885286783042,1000
cnn,1,8,Bag,0.9829659318637275,0.981,0.9819819819819819,1000
cnn,1,9,Ankle boot,0.9758064516129032,0.968,0.9718875502008032,1000
cnn,2,0,T-shirt/top,0.87,0.87,0.87,1000
cnn,2,1,Trouser,0.9949494949494949,0.985,0.9899497487437185,1000
cnn,2,2,Pullover,0.8732809430255403,0.889,0.8810703666997026,1000
cnn,2,3,Dress,0.9006750241080038,0.934,0.917034855179185,1000
cnn,2,4,Coat,0.8884297520661157,0.86,0.8739837398373984,1000
cnn,2,5,Sandal,0.9889669007021064,0.986,0.9874812218327491,1000
cnn,2,6,Shirt,0.7826530612244897,0.767,0.7747474747474747,1000
cnn,2,7,Sneaker,0.9580078125,0.981,0.9693675889328063,1000
cnn,2,8,Bag,0.9830339321357285,0.985,0.984015984015984,1000
cnn,2,9,Ankle boot,0.9827235772357723,0.967,0.9747983870967742,1000
cnn_aug,0,0,T-shirt/top,0.8620689655172413,0.875,0.8684863523573201,1000
cnn_aug,0,1,Trouser,0.9939271255060729,0.982,0.9879275653923542,1000
cnn_aug,0,2,Pullover,0.8925619834710744,0.864,0.8780487804878049,1000
cnn_aug,0,3,Dress,0.9001937984496124,0.929,0.9143700787401575,1000
cnn_aug,0,4,Coat,0.8513119533527697,0.876,0.8634795465746673,1000
cnn_aug,0,5,Sandal,0.9848942598187311,0.978,0.9814350225790266,1000
cnn_aug,0,6,Shirt,0.7629399585921325,0.737,0.7497456765005086,1000
cnn_aug,0,7,Sneaker,0.9525222551928784,0.963,0.95773247140726,1000
cnn_aug,0,8,Bag,0.9889224572004028,0.982,0.985449071751129,1000
cnn_aug,0,9,Ankle boot,0.9601990049751243,0.965,0.9625935162094763,1000
cnn_aug,1,0,T-shirt/top,0.8718718718718719,0.871,0.8714357178589295,1000
cnn_aug,1,1,Trouser,0.9959595959595959,0.986,0.9909547738693467,1000
cnn_aug,1,2,Pullover,0.8962264150943396,0.855,0.8751279426816786,1000
cnn_aug,1,3,Dress,0.8993223620522749,0.929,0.9139203148057059,1000
cnn_aug,1,4,Coat,0.8859470468431772,0.87,0.8779011099899092,1000
cnn_aug,1,5,Sandal,0.9849548645937813,0.982,0.9834752128192289,1000
cnn_aug,1,6,Shirt,0.7347531461761858,0.759,0.7466797835710772,1000
cnn_aug,1,7,Sneaker,0.954954954954955,0.954,0.9544772386193097,1000
cnn_aug,1,8,Bag,0.9811133200795229,0.987,0.9840478564307079,1000
cnn_aug,1,9,Ankle boot,0.9572989076464746,0.964,0.9606377678126558,1000
cnn_aug,2,0,T-shirt/top,0.8656126482213439,0.876,0.8707753479125249,1000
cnn_aug,2,1,Trouser,0.9919678714859438,0.988,0.9899799599198397,1000
cnn_aug,2,2,Pullover,0.8137254901960784,0.913,0.8605089538171536,1000
cnn_aug,2,3,Dress,0.8986486486486487,0.931,0.9145383104125737,1000
cnn_aug,2,4,Coat,0.8649789029535865,0.82,0.8418891170431212,1000
cnn_aug,2,5,Sandal,0.9836901121304791,0.965,0.9742554265522464,1000
cnn_aug,2,6,Shirt,0.7874015748031497,0.7,0.741132874536792,1000
cnn_aug,2,7,Sneaker,0.9374398460057748,0.974,0.9553702795487984,1000
cnn_aug,2,8,Bag,0.9909182643794148,0.982,0.9864389753892516,1000
cnn_aug,2,9,Ankle boot,0.9705882352941176,0.957,0.9637462235649547,1000
